,matchId,pos,position2,position3,position4,distance2,distance3,x_position4,y_position4
82365,2925725737,"[array([3233., 7701.]), array([3617., 6560.]), array([7205., 3818.]), array([2642., 8087.]), array([8362., 2626.]), array([10960.,  4756.])]",[3617. 6560.],[7205. 3818.],[2642. 8087.],583.3429523016456,346.62515777133086,2642.0,8087.0
84199,2925735660,"[array([3366., 7749.]), array([3508., 6646.]), array([7526., 3954.]), array([8294., 2667.]), array([2235., 8551.]), array([6145., 4101.])]",[3508. 6646.],[7526. 3954.],[8294. 2667.],606.1188002363893,52.839379254491625,8294.0,2667.0
86505,2925747660,"[array([3330., 7772.]), array([3908., 6644.]), array([7183., 4594.]), array([ 2973., 12575.]), array([3789., 6121.]), array([ 3065., 11165.])]",[3908. 6644.],[7183. 4594.],[ 2973. 12575.],367.6955262170047,673.2941407735552,2973.0,12575.0
89332,2925762775,"[array([3382., 7770.]), array([3763., 6372.]), array([8045., 3516.]), array([10413.,  3075.]), array([2766., 6481.]), array([2204., 8442.])]",[3763. 6372.],[8045. 3516.],[10413.  3075.],671.2324485601094,728.8902523699984,10413.0,3075.0
91880,2925776465,"[array([3495., 7767.]), array([3633., 6456.]), array([7464., 3409.]), array([2401., 1001.]), array([8601., 6315.]), array([ 2613., 13555.])]",[3633. 6456.],[7464. 3409.],[2401. 1001.],656.2202374203343,592.095431497322,2401.0,1001.0
93267,2925783869,"[array([6624., 4808.]), array([3493., 6720.]), array([7038., 4420.]), array([6578., 6906.]), array([3955., 6179.]), array([6740., 4881.])]",[3493. 6720.],[7038. 4420.],[6578. 6906.],579.1795921819069,624.3748873873773,6578.0,6906.0
96181,2925799311,"[array([7784., 3723.]), array([4542., 6901.]), array([7162., 4595.]), array([1203., 1809.]), array([3598., 9038.]), array([560., 464.])]",[4542. 6901.],[7162. 4595.],[1203. 1809.],550.9673311549425,684.301833988482,1203.0,1809.0
96855,2925803019,"[array([3561., 8200.]), array([3822., 6666.]), array([7473., 3549.]), array([274., 808.]), array([11236.,  5553.]), array([3621., 6723.])]",[3822. 6666.],[7473. 3549.],[274. 808.],378.4706065205064,451.8074811244276,274.0,808.0
99814,2925818275,"[array([4749., 9247.]), array([3483., 6726.]), array([7081., 4269.]), array([7097., 4547.]), array([8523., 2629.]), array([394., 461.])]",[3483. 6726.],[7081. 4269.],[7097. 4547.],585.1196458844977,497.9176638762678,7097.0,4547.0
100054,2925819511,"[array([3363., 7816.]), array([3351., 6923.]), array([7483., 3962.]), array([7673., 4748.]), array([2190., 8398.]), array([6736., 9028.])]",[3351. 6923.],[7483. 3962.],[7673. 4748.],653.5518342105697,41.6293165929973,7673.0,4748.0
103734,2925838849,"[array([3580., 4214.]), array([3995., 6544.]), array([7118., 4010.]), array([12344.,  3259.]), array([1394., 2475.]), array([1462., 8384.])]",[3995. 6544.],[7118. 4010.],[12344.  3259.],456.0274114568114,382.13086763568316,12344.0,3259.0
105044,2925845698,"[array([6646., 7336.]), array([4341., 7447.]), array([7217., 4610.]), array([8179., 5562.]), array([2206., 8440.]), array([3846., 7171.])]",[4341. 7447.],[7217. 4610.],[8179. 5562.],562.21881861069,672.4499981411258,8179.0,5562.0
105220,2925846609,"[array([5266., 9159.]), array([3718., 6513.]), array([7493., 3894.]), array([12631.,  5040.]), array([ 3389., 10388.]), array([2327., 8418.])]",[3718. 6513.],[7493. 3894.],[12631.  5040.],562.7548311654019,106.23088063270491,12631.0,5040.0
106935,2925855346,"[array([10557.,  5122.]), array([4351., 7184.]), array([7513., 3654.]), array([4814., 9077.]), array([7110., 6562.]), array([8710., 2482.])]",[4351. 7184.],[7513. 3654.],[4814. 9077.],396.30417610719167,346.2441335243097,4814.0,9077.0
108459,2925862664,"[array([5194., 9132.]), array([3747., 6563.]), array([7140., 3985.]), array([8004., 5406.]), array([5039., 8567.]), array([10285.,  3247.])]",[3747. 6563.],[7140. 3985.],[8004. 5406.],504.95346320230345,360.3123644839294,8004.0,5406.0
110629,2925873370,"[array([7704., 3970.]), array([3554., 6405.]), array([7850., 3484.]), array([9825., 5625.]), array([2646., 4310.]), array([11228.,  4545.])]",[3554. 6405.],[7850. 3484.],[9825. 5625.],743.6000268961802,623.5030072100695,9825.0,5625.0
